,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
407,735178,42.7,41.1,44.2,51,05,515301,5171,0,43,431,224,205,791,915,3202,4459,11422,8645,15158,13015,8687,124143,28046,34390,74008,38352,80755,43880,11090,8269,705527,97394,40309,57085,608133,300595,307538,283654,207785,75869,283654,199878,83776,719395,348456,370939
408,754859,40.3,39.2,41.5,51,06,506994,5138,0,112,0,401,560,570,1102,3457,4324,7734,9960,12103,11652,7840,133262,28688,37754,62193,45106,80854,37390,9188,7606,720031,103882,43495,60387,616149,302620,313529,293613,220257,73356,293613,213225,80388,744247,355828,388419
409,775369,39.9,39.0,40.9,51,07,532431,4744,90,60,267,82,221,457,1718,3242,2322,6423,5815,8295,7772,7197,106998,22088,31893,72986,42317,127780,62030,10894,6740,763157,59069,26278,32791,704088,342216,361872,286841,234573,52268,286841,227384,59457,764255,368521,395734
410,783079,36.1,35.7,36.4,51,08,562355,12023,51,83,328,218,1427,2568,2694,6430,1999,3781,6181,3152,3709,7629,60721,7242,18384,48796,27614,165675,124751,38402,18497,775836,69370,28878,40492,706466,353547,352919,314900,277443,37457,314900,269841,45059,768343,375648,392695
411,707012,43.0,40.9,44.7,51,09,496517,5053,98,246,44,123,856,1440,1659,4006,7917,11129,11363,14894,14505,8284,134871,33114,38500,62727,44596,61873,25473,5886,7860,672361,126555,60916,65639,545806,270635,275171,281436,187999,93437,281436,181246,100190,689992,340665,349327
412,827279,37.9,36.7,38.7,51,10,540873,7667,146,0,616,622,1010,1429,1932,4366,851,2809,3260,5593,5499,6003,73352,11953,27458,57402,35039,160420,102733,16456,14257,819933,40361,17649,22712,779572,390816,388756,272000,237929,34071,272000,231412,40588,821155,408147,413008
413,802910,36.9,36.2,37.5,51,11,535531,9234,65,0,811,845,1671,1727,1848,6112,1741,2493,7252,3193,4037,8604,74984,6463,20935,57790,28620,160544,106382,17993,12187,790733,52449,23010,29439,738284,367110,371174,271313,238074,33239,271313,232559,38754,794910,389515,405395
414,738149,38.5,37.5,39.5,53,01,512260,3061,48,421,179,249,788,298,500,3677,316,2905,2983,2847,5978,6771,86544,15549,35600,75404,46055,141566,58667,11269,10585,729773,47742,21023,26719,682031,344852,337179,270730,223074,47656,270730,216087,54643,732364,366876,365488
415,728550,38.2,37.2,39.4,53,02,502673,4923,84,340,282,0,884,903,216,1983,1307,3753,4068,5762,9356,8755,101965,20059,42373,89187,54195,98925,39268,8135,5950,714828,82736,38586,44150,632092,319017,313075,278780,217053,61727,278780,209509,69271,714205,354241,359964
416,722277,39.8,38.9,40.6,53,03,494070,3392,25,59,306,326,935,416,692,2414,1059,3952,5016,7431,8889,10128,108909,22981,46374,90063,55053,81559,33694,7052,3345,713312,78857,34954,43903,634455,316705,317750,267226,199428,67798,267226,192311,74915,716631,352829,363802
